subjectID,ACR,ACR-L,ACR-R,ALIC,ALIC-L,ALIC-R,AverageFA,BCC,CC,CGC,CGC-L,CGC-R,CGH,CGH-L,CGH-R,CR,CR-L,CR-R,CST,CST-L,CST-R,EC,EC-L,EC-R,FX,FX/ST-L,FX/ST-R,FXST,GCC,IC,IC-L,IC-R,IFO,IFO-L,IFO-R,PCR,PCR-L,PCR-R,PLIC,PLIC-L,PLIC-R,PTR,PTR-L,PTR-R,RLIC,RLIC-L,RLIC-R,SCC,SCR,SCR-L,SCR-R,SFO,SFO-L,SFO-R,SLF,SLF-L,SLF-R,SS,SS-L,SS-R,UNC,UNC-L,UNC-R
sub-FREHC007,0.477904,0.489053,0.467283,0.621282,0.62367,0.618973,0.512309,0.706334,0.710909,0.619935,0.654911,0.587132,0.501823,0.507304,0.496263,0.490893,0.497807,0.484149,0.558006,0.542969,0.573362,0.461268,0.46765,0.454619,0.636943,0.546596,0.508429,0.529812,0.682973,0.626616,0.631867,0.621278,0.57434,0.55381,0.593454,0.520213,0.509462,0.528827,0.672569,0.676172,0.668903,0.614489,0.625701,0.604116,0.580848,0.591872,0.569024,0.74472,0.49471,0.503881,0.484684,0.648424,0.643332,0.652668,0.563872,0.563877,0.563866,0.553155,0.545167,0.561308,0.596262,0.616843,0.584552
sub-FREHC008,0.473119,0.471732,0.47444,0.612313,0.618738,0.606103,0.518489,0.689666,0.691609,0.669108,0.701775,0.638471,0.618875,0.614073,0.623747,0.491398,0.485519,0.497131,0.532097,0.520008,0.544442,0.509505,0.524275,0.494118,0.670549,0.565117,0.616309,0.587629,0.642561,0.628911,0.632211,0.625556,0.596097,0.595489,0.596663,0.528795,0.519858,0.535956,0.680101,0.665507,0.694947,0.573037,0.594994,0.552724,0.589468,0.609677,0.567792,0.74051,0.498433,0.489231,0.508494,0.569705,0.5783,0.562543,0.517952,0.510923,0.525749,0.556285,0.573931,0.538276,0.552949,0.600129,0.526105
sub-FREHC009,0.454367,0.469002,0.440425,0.562879,0.56879,0.557165,0.489223,0.664935,0.669845,0.623214,0.661165,0.587621,0.597047,0.605582,0.588389,0.465533,0.472405,0.45883,0.475698,0.471257,0.480233,0.470023,0.479419,0.460234,0.687712,0.533034,0.504514,0.520492,0.620875,0.577154,0.583639,0.570561,0.567906,0.541935,0.592085,0.501443,0.495743,0.50601,0.618597,0.622893,0.614227,0.536941,0.53478,0.53894,0.546129,0.556009,0.535532,0.723771,0.464209,0.467874,0.460202,0.553729,0.554657,0.552955,0.4932,0.484204,0.50318,0.507325,0.520298,0.494084,0.593351,0.605938,0.58619
sub-FREHC010,0.455812,0.454728,0.456845,0.624019,0.616781,0.631015,0.500273,0.674844,0.677147,0.634539,0.667414,0.603708,0.494955,0.479961,0.510167,0.479988,0.478884,0.481064,0.521891,0.537526,0.505926,0.492803,0.496861,0.488575,0.629096,0.498117,0.50009,0.498985,0.627128,0.638759,0.637374,0.640167,0.603248,0.583268,0.62185,0.494503,0.482556,0.504075,0.702846,0.697612,0.70817,0.602732,0.599279,0.605927,0.582837,0.592714,0.572243,0.727568,0.504328,0.506087,0.502405,0.612266,0.590012,0.63081,0.514755,0.510573,0.519394,0.550986,0.554367,0.547536,0.594278,0.544431,0.622639
sub-FREHC011,0.432225,0.430479,0.433889,0.606682,0.607146,0.606233,0.495025,0.668419,0.676148,0.5983,0.611831,0.58561,0.571427,0.551103,0.592046,0.45826,0.463367,0.453278,0.537448,0.512631,0.56279,0.471174,0.473872,0.468363,0.646525,0.551851,0.514538,0.535443,0.626625,0.615197,0.616614,0.613757,0.647593,0.663531,0.632755,0.496109,0.515777,0.480351,0.664269,0.660336,0.66827,0.499149,0.49559,0.502442,0.569376,0.578563,0.559523,0.735431,0.474914,0.483031,0.466039,0.606894,0.615673,0.599579,0.492815,0.497388,0.487743,0.51876,0.53289,0.504338,0.463627,0.456203,0.467851
sub-FREHC012,0.511775,0.511828,0.511724,0.650958,0.648892,0.652956,0.521972,0.693747,0.701953,0.638333,0.674885,0.604053,0.522593,0.534265,0.510752,0.517104,0.513199,0.520913,0.528688,0.520199,0.537356,0.511798,0.513588,0.509934,0.741949,0.53862,0.550229,0.543725,0.66037,0.654707,0.653238,0.6562,0.557354,0.5755,0.540459,0.529688,0.526276,0.532421,0.688777,0.685362,0.692252,0.614801,0.607262,0.621776,0.62055,0.622596,0.618355,0.754683,0.518433,0.510028,0.527621,0.583389,0.571405,0.593376,0.538744,0.540288,0.537032,0.564484,0.562391,0.566621,0.588861,0.611216,0.576142
sub-FREHC013,0.442561,0.453499,0.432141,0.633258,0.638436,0.628253,0.495371,0.68575,0.675632,0.625029,0.663586,0.588869,0.557373,0.547468,0.567421,0.456141,0.460831,0.451567,0.532665,0.555549,0.509297,0.477878,0.482928,0.472617,0.70526,0.548536,0.615015,0.57777,0.599112,0.625244,0.637772,0.612508,0.519833,0.489469,0.548102,0.491006,0.485673,0.495278,0.666649,0.674586,0.658575,0.567972,0.555786,0.579246,0.570118,0.59685,0.541446,0.729327,0.458322,0.460392,0.456059,0.61343,0.618132,0.609511,0.492122,0.491771,0.492511,0.525419,0.545192,0.505238,0.585646,0.57007,0.594508
sub-FREHC014,0.477142,0.482313,0.472215,0.603689,0.606833,0.60065,0.478154,0.653495,0.675836,0.646682,0.69015,0.605916,0.544753,0.536265,0.553363,0.496536,0.495748,0.497304,0.515668,0.523856,0.507306,0.482158,0.490538,0.473428,0.524089,0.527329,0.531515,0.52917,0.648047,0.624953,0.630217,0.619602,0.538667,0.520155,0.555903,0.536019,0.523727,0.545868,0.66242,0.664764,0.660036,0.564397,0.557838,0.570464,0.605959,0.616511,0.59464,0.740039,0.504086,0.501374,0.50705,0.600685,0.59355,0.606631,0.512444,0.501574,0.524502,0.548247,0.546405,0.550126,0.59113,0.592271,0.590481
sub-FREHC015,0.467444,0.489074,0.446838,0.65261,0.662078,0.643458,0.492319,0.702302,0.709668,0.661594,0.701987,0.623711,0.517185,0.525121,0.509134,0.510392,0.530149,0.491121,0.521788,0.512016,0.531766,0.489359,0.486098,0.492756,0.548577,0.551836,0.545556,0.549074,0.666937,0.663111,0.670983,0.655109,0.549833,0.544102,0.555168,0.561679,0.558375,0.564326,0.717196,0.721111,0.713214,0.591651,0.586083,0.596802,0.613818,0.625352,0.601447,0.762018,0.542662,0.56835,0.514578,0.676474,0.648094,0.700124,0.547605,0.548728,0.54636,0.541269,0.550776,0.531567,0.651636,0.643104,0.656491
sub-FREHC016,0.422564,0.423449,0.421721,0.583453,0.582898,0.583989,0.458738,0.659314,0.661959,0.61007,0.630086,0.591297,0.471632,0.517188,0.425416,0.451835,0.451161,0.452492,0.512123,0.469401,0.55575,0.477714,0.484017,0.471147,0.510307,0.533281,0.534304,0.533731,0.622512,0.595015,0.598794,0.591173,0.610992,0.637383,0.586422,0.474808,0.460921,0.485934,0.662755,0.663269,0.662232,0.53879,0.524038,0.552437,0.531553,0.544671,0.517482,0.703148,0.478983,0.480334,0.477506,0.600062,0.545058,0.645899,0.469985,0.473367,0.466234,0.48713,0.491689,0.482477,0.56692,0.571311,0.564422
